Year,month,value,var,district
1884,1,8.4,Tmax,East_Anglia
1885,1,4.4,Tmax,East_Anglia
1886,1,4.2,Tmax,East_Anglia
1887,1,4.2,Tmax,East_Anglia
1888,1,5.5,Tmax,East_Anglia
1889,1,4.9,Tmax,East_Anglia
1890,1,8.5,Tmax,East_Anglia
1891,1,3.6,Tmax,East_Anglia
1892,1,4.7,Tmax,East_Anglia
1893,1,4.0,Tmax,East_Anglia
1894,1,5.7,Tmax,East_Anglia
1895,1,2.9,Tmax,East_Anglia
1896,1,6.8,Tmax,East_Anglia
1897,1,3.5,Tmax,East_Anglia
1898,1,8.3,Tmax,East_Anglia
1899,1,8.2,Tmax,East_Anglia
1900,1,6.6,Tmax,East_Anglia
1901,1,5.9,Tmax,East_Anglia
1902,1,7.4,Tmax,East_Anglia
1903,1,6.6,Tmax,East_Anglia
1904,1,6.0,Tmax,East_Anglia
1905,1,6.0,Tmax,East_Anglia
1906,1,7.6,Tmax,East_Anglia
1907,1,5.5,Tmax,East_Anglia
1908,1,5.0,Tmax,East_Anglia
1909,1,5.5,Tmax,East_Anglia
1910,1,6.1,Tmax,East_Anglia
1911,1,5.7,Tmax,East_Anglia
1912,1,6.0,Tmax,East_Anglia
1913,1,6.8,Tmax,East_Anglia
1914,1,5.4,Tmax,East_Anglia
1915,1,6.0,Tmax,East_Anglia
1916,1,9.8,Tmax,East_Anglia
1917,1,3.1,Tmax,East_Anglia
1918,1,6.1,Tmax,East_Anglia
1919,1,5.0,Tmax,East_Anglia
1920,1,8.1,Tmax,East_Anglia
1921,1,9.8,Tmax,East_Anglia
1922,1,6.1,Tmax,East_Anglia
1923,1,7.8,Tmax,East_Anglia
1924,1,6.4,Tmax,East_Anglia
1925,1,7.7,Tmax,East_Anglia
1926,1,6.7,Tmax,East_Anglia
1927,1,7.1,Tmax,East_Anglia
1928,1,7.9,Tmax,East_Anglia
1929,1,3.4,Tmax,East_Anglia
1930,1,8.6,Tmax,East_Anglia
1931,1,5.9,Tmax,East_Anglia
1932,1,8.8,Tmax,East_Anglia
1933,1,5.0,Tmax,East_Anglia
1934,1,6.8,Tmax,East_Anglia
1935,1,6.6,Tmax,East_Anglia
1936,1,6.7,Tmax,East_Anglia
1937,1,7.5,Tmax,East_Anglia
1938,1,8.2,Tmax,East_Anglia
1939,1,6.9,Tmax,East_Anglia
1940,1,1.8,Tmax,East_Anglia
1941,1,2.4,Tmax,East_Anglia
1942,1,2.7,Tmax,East_Anglia
1943,1,7.1,Tmax,East_Anglia
1944,1,8.6,Tmax,East_Anglia
1945,1,2.7,Tmax,East_Anglia
1946,1,5.7,Tmax,East_Anglia
1947,1,4.0,Tmax,East_Anglia
1948,1,8.3,Tmax,East_Anglia
1949,1,7.8,Tmax,East_Anglia
1950,1,6.4,Tmax,East_Anglia
1951,1,6.6,Tmax,East_Anglia
1952,1,5.4,Tmax,East_Anglia
1953,1,5.0,Tmax,East_Anglia
1954,1,5.2,Tmax,East_Anglia
1955,1,4.6,Tmax,East_Anglia
1956,1,6.1,Tmax,East_Anglia
1957,1,8.2,Tmax,East_Anglia
1958,1,6.0,Tmax,East_Anglia
1959,1,4.4,Tmax,East_Anglia
1960,1,6.3,Tmax,East_Anglia
1961,1,5.9,Tmax,East_Anglia
1962,1,7.2,Tmax,East_Anglia
1963,1,0.2,Tmax,East_Anglia
1964,1,4.7,Tmax,East_Anglia
1965,1,5.8,Tmax,East_Anglia
1966,1,4.5,Tmax,East_Anglia
1967,1,6.4,Tmax,East_Anglia
1968,1,6.4,Tmax,East_Anglia
1969,1,7.9,Tmax,East_Anglia
1970,1,5.8,Tmax,East_Anglia
1971,1,6.7,Tmax,East_Anglia
1972,1,5.7,Tmax,East_Anglia
1973,1,6.6,Tmax,East_Anglia
1974,1,8.7,Tmax,East_Anglia
1975,1,9.3,Tmax,East_Anglia
1976,1,7.9,Tmax,East_Anglia
1977,1,5.0,Tmax,East_Anglia
1978,1,5.5,Tmax,East_Anglia
1979,1,2.4,Tmax,East_Anglia
1980,1,5.1,Tmax,East_Anglia
1981,1,7.0,Tmax,East_Anglia
1982,1,5.9,Tmax,East_Anglia
1983,1,9.3,Tmax,East_Anglia
1984,1,6.6,Tmax,East_Anglia
1985,1,3.3,Tmax,East_Anglia
1986,1,6.1,Tmax,East_Anglia
1987,1,2.7,Tmax,East_Anglia
1988,1,7.9,Tmax,East_Anglia
1989,1,8.6,Tmax,East_Anglia
1990,1,9.3,Tmax,East_Anglia
1991,1,6.3,Tmax,East_Anglia
1992,1,6.3,Tmax,East_Anglia
1993,1,9.1,Tmax,East_Anglia
1994,1,8.1,Tmax,East_Anglia
1995,1,7.6,Tmax,East_Anglia
1996,1,5.5,Tmax,East_Anglia
1997,1,4.5,Tmax,East_Anglia
1998,1,8.0,Tmax,East_Anglia
1999,1,8.7,Tmax,East_Anglia
2000,1,7.9,Tmax,East_Anglia
2001,1,6.2,Tmax,East_Anglia
2002,1,8.4,Tmax,East_Anglia
2003,1,7.0,Tmax,East_Anglia
2004,1,7.8,Tmax,East_Anglia
2005,1,8.8,Tmax,East_Anglia
2006,1,6.5,Tmax,East_Anglia
2007,1,9.9,Tmax,East_Anglia
2008,1,9.7,Tmax,East_Anglia
2009,1,5.6,Tmax,East_Anglia
2010,1,3.6,Tmax,East_Anglia
2011,1,6.7,Tmax,East_Anglia
2012,1,8.8,Tmax,East_Anglia
2013,1,5.7,Tmax,East_Anglia
2014,1,8.8,Tmax,East_Anglia
2015,1,7.6,Tmax,East_Anglia
2016,1,8.4,Tmax,East_Anglia
2017,1,6.5,Tmax,East_Anglia
2018,1,8.4,Tmax,East_Anglia
2019,1,6.7,Tmax,East_Anglia
2020,1,9.2,Tmax,East_Anglia
2021,1,5.7,Tmax,East_Anglia
2022,1,8.0,Tmax,East_Anglia
2023,1,8.3,Tmax,East_Anglia
2024,1,7.6,Tmax,East_Anglia
2025,1,6.4,Tmax,East_Anglia
2026,1,7.0,Tmax,East_Anglia
1884,2,8.2,Tmax,East_Anglia
