Year,Ambition,Apache,Cadenza,Claire,Crusoe,Evolution,Hybrid 46,KWS Sterling,Kranich,Rendezvous,Robigus,Solstice,Spaldings Prolific,Total Number of Isolates,Vilmorin,Warrior,Yr1,Yr10,Yr15,Yr17,Yr2,Yr24,Yr25,Yr3,Yr32,Yr4,Yr5,Yr6,Yr7,Yr8,Yr9
2010,,,3.0,79.0,,,,,,91.0,97.0,97.0,,34.0,,0.0,100.0,,0.0,97.0,100.0,,,100.0,100.0,100.0,0.0,97.0,9.0,0.0,100.0
2011,,,,,,,,11.0,,63.0,0.0,96.0,,27.0,,56.0,100.0,,0.0,96.0,100.0,,,100.0,96.0,100.0,0.0,93.0,70.0,0.0,100.0
2012,79.0,,79.0,45.0,0.0,,,29.0,,25.0,100.0,100.0,79.0,28.0,,61.0,100.0,,0.0,100.0,100.0,,,100.0,100.0,100.0,,100.0,100.0,0.0,100.0
2013,28.0,76.0,80.0,92.0,4.0,,,44.0,,48.0,100.0,100.0,80.0,25.0,,28.0,100.0,0.0,0.0,100.0,100.0,0.0,92.0,100.0,100.0,100.0,0.0,100.0,92.0,0.0,100.0
2014,22.0,65.0,73.0,56.0,0.0,,,8.0,4.0,12.0,100.0,85.0,88.0,26.0,,23.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,96.0,100.0,96.0,0.0,100.0,92.0,4.0,100.0
2015,10.0,52.0,55.0,79.0,0.0,,,24.0,7.0,38.0,100.0,90.0,72.0,29.0,,3.0,100.0,0.0,0.0,97.0,97.0,0.0,100.0,100.0,100.0,97.0,0.0,100.0,76.0,3.0,100.0
2016,,55.0,76.0,,5.0,16.0,,32.0,8.0,87.0,100.0,100.0,82.0,38.0,,37.0,100.0,0.0,0.0,100.0,100.0,0.0,97.0,100.0,100.0,100.0,0.0,100.0,89.0,3.0,100.0
2017,,96.0,96.0,,7.0,75.0,,89.0,7.0,96.0,100.0,100.0,96.0,28.0,,46.0,96.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,4.0,100.0
2018,,83.0,93.0,,0.0,40.0,,17.0,0.0,67.0,100.0,100.0,100.0,30.0,,20.0,97.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0
2019,,68.0,77.0,,10.0,19.0,,55.0,29.0,48.0,100.0,100.0,81.0,31.0,,61.0,94.0,0.0,0.0,100.0,100.0,0.0,100.0,94.0,100.0,97.0,0.0,100.0,100.0,16.0,94.0
2020,33.0,93.0,83.0,,7.0,73.0,86.0,70.0,33.0,86.0,100.0,100.0,100.0,30.0,100.0,47.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,87.0,0.0,100.0,93.0,3.33,100.0
2021,25.0,100.0,87.0,,3.0,38.0,67.0,80.0,43.0,72.0,100.0,100.0,100.0,40.0,97.0,72.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,98.0,100.0,68.0,0.0,100.0,100.0,7.5,100.0
2022,16.0,96.0,92.0,,8.0,40.0,92.0,80.0,24.0,72.0,100.0,100.0,100.0,25.0,100.0,92.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,92.0,0.0,100.0,96.0,0.0,100.0
2023,30.0,53.0,,,,22.0,,61.0,36.0,53.0,,,,,95.0,37.0,100.0,0.0,0.0,100.0,,,,94.0,100.0,80.0,0.0,,54.0,2.78,
2024,48.0,72.0,84.0,,,16.0,20.0,56.0,36.0,24.0,,,,,76.0,36.0,100.0,0.0,0.0,100.0,,,,76.0,100.0,20.0,0.0,,72.0,0.0,
