report,Year,item,pct
2015,2010,Yr1,100.0
2015,2010,Yr2,100.0
2015,2010,Yr3,100.0
2015,2010,Yr4,100.0
2015,2010,Yr5,0.0
2015,2010,Yr6,97.0
2015,2010,Yr7,9.0
2015,2010,Yr8,0.0
2015,2010,Yr9,100.0
2015,2010,Yr10,
2015,2010,Yr15,0.0
2015,2010,Yr17,97.0
2015,2010,Yr24,
2015,2010,Yr25,
2015,2010,Yr32,100.0
2015,2010,Robigus,97.0
2015,2010,Solstice,97.0
2015,2010,Warrior,0.0
2015,2010,Spaldings Prolific,
2015,2010,Rendezvous,91.0
2015,2010,Ambition,
2015,2010,Apache,
2015,2010,KWS Sterling,
2015,2010,Cadenza,3.0
2015,2010,Claire,79.0
2015,2010,Crusoe,
2015,2010,Total Number of Isolates,34.0
2016,2011,Yr1,100.0
2016,2011,Yr2,100.0
2016,2011,Yr3,100.0
2016,2011,Yr4,100.0
2016,2011,Yr5,0.0
2016,2011,Yr6,93.0
2016,2011,Yr7,70.0
2016,2011,Yr8,0.0
2016,2011,Yr9,100.0
2016,2011,Yr10,
2016,2011,Yr15,0.0
2016,2011,Yr17,96.0
2016,2011,Yr24,
2016,2011,Yr25,
2016,2012,Yr25,
2016,2011,Yr32,96.0
2016,2011,Robigus,0.0
2016,2011,Solstice,96.0
2016,2011,Warrior,56.0
2016,2011,Spaldings Prolific,
2016,2011,Rendezvous,63.0
2016,2011,Ambition,
2016,2012,Ambition,79.0
2016,2013,Ambition,28.0
2016,2014,Ambition,22.0
2016,2015,Ambition,10.0
2016,2011,Apache,
2016,2011,KWS Sterling,11.0
2016,2011,Cadenza,
2016,2011,Claire,
2016,2012,Claire,45.0
2016,2013,Claire,92.0
2016,2014,Claire,56.0
2016,2015,Claire,79.0
2016,2011,Crusoe,
2016,2011,Kranich,
2016,2011,Total Number of Isolates,27.0
2017,2012,Yr1,100.0
2017,2012,Yr2,100.0
2017,2012,Yr3,100.0
2017,2012,Yr4,100.0
2017,2012,Yr5,
2017,2012,Yr6,100.0
2017,2012,Yr7,100.0
2017,2012,Yr8,0.0
2017,2012,Yr9,100.0
2017,2012,Yr10,
2017,2012,Yr15,0.0
2017,2012,Yr17,100.0
2017,2012,Yr24,
2017,2012,Yr32,100.0
2017,2012,Rendezvous,25.0
2017,2012,Spaldings Prolific,79.0
2017,2012,Robigus,100.0
2017,2012,Solstice,100.0
2017,2012,Warrior,61.0
2017,2012,Cadenza,79.0
2017,2012,KWS Sterling,29.0
2017,2012,Kranich,
2017,2012,Apache,
2017,2012,Crusoe,0.0
2017,2012,Evolution,
2017,2012,Total Number of Isolates,28.0
2018,2013,Yr1,100.0
2018,2013,Yr2,100.0
2018,2013,Yr3,100.0
2018,2013,Yr4,100.0
2018,2013,Yr5,0.0
2018,2013,Yr6,100.0
2018,2013,Yr7,92.0
2018,2013,Yr8,0.0
2018,2013,Yr9,100.0
2018,2013,Yr10,0.0
2018,2013,Yr15,0.0
2018,2013,Yr17,100.0
2018,2013,Yr24,0.0
2018,2013,Yr25,92.0
2018,2013,Yr32,100.0
2018,2013,Rendezvous,48.0
2018,2013,Spaldings Prolific,80.0
2018,2013,Robigus,100.0
2018,2013,Solstice,100.0
2018,2013,Warrior,28.0
2018,2013,Cadenza,80.0
2018,2013,KWS Sterling,44.0
2018,2013,Kranich,
2018,2013,Apache,76.0
2018,2013,Crusoe,4.0
2018,2013,Evolution,
2018,2013,Total Number of Isolates,25.0
2019,2014,Yr1,100.0
2019,2015,Yr1,100.0
2019,2014,Yr2,100.0
2019,2015,Yr2,97.0
2019,2014,Yr3,96.0
2019,2015,Yr3,100.0
2019,2014,Yr4,96.0
2019,2015,Yr4,97.0
2019,2014,Yr5,0.0
2019,2015,Yr5,0.0
2019,2014,Yr6,100.0
2019,2015,Yr6,100.0
2019,2014,Yr7,92.0
2019,2015,Yr7,76.0
2019,2014,Yr8,4.0
2019,2015,Yr8,3.0
2019,2014,Yr9,100.0
2019,2015,Yr9,100.0
2019,2014,Yr10,0.0
2019,2015,Yr10,0.0
2019,2014,Yr15,0.0
2019,2015,Yr15,0.0
2019,2014,Yr17,100.0
2019,2015,Yr17,97.0
2019,2014,Yr24,0.0
2019,2015,Yr24,0.0
2019,2014,Yr25,100.0
2019,2015,Yr25,100.0
2019,2014,Yr32,100.0
2019,2015,Yr32,100.0
2019,2014,Rendezvous,12.0
2019,2015,Rendezvous,38.0
2019,2014,Spaldings Prolific,88.0
2019,2015,Spaldings Prolific,72.0
2019,2014,Robigus,100.0
2019,2015,Robigus,100.0
2019,2014,Solstice,85.0
2019,2015,Solstice,90.0
2019,2014,Warrior,23.0
