Year,Region,target,value
2005,East,L1_Zymoseptoria_tritici_Crop_Incidence,56.9514
2005,East Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,58.94465
2005,North East,L1_Zymoseptoria_tritici_Crop_Incidence,66.05641
2005,North West,L1_Zymoseptoria_tritici_Crop_Incidence,80.94951
2005,South East,L1_Zymoseptoria_tritici_Crop_Incidence,55.879745
2005,South West,L1_Zymoseptoria_tritici_Crop_Incidence,76.55359
2005,West Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,64.71091
2005,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Crop_Incidence,69.26984
2006,East,L1_Zymoseptoria_tritici_Crop_Incidence,60.98647
2006,East Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,60.7462
2006,North East,L1_Zymoseptoria_tritici_Crop_Incidence,39.498505
2006,North West,L1_Zymoseptoria_tritici_Crop_Incidence,63.576385
2006,South East,L1_Zymoseptoria_tritici_Crop_Incidence,65.77423
2006,South West,L1_Zymoseptoria_tritici_Crop_Incidence,65.06404
2006,West Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,68.96774
2006,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Crop_Incidence,51.942986
2007,East,L1_Zymoseptoria_tritici_Crop_Incidence,70.17337
2007,East Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,68.51686
2007,North East,L1_Zymoseptoria_tritici_Crop_Incidence,53.913925
2007,North West,L1_Zymoseptoria_tritici_Crop_Incidence,70.99757
2007,South East,L1_Zymoseptoria_tritici_Crop_Incidence,71.72721
2007,South West,L1_Zymoseptoria_tritici_Crop_Incidence,75.601746
2007,Wales,L1_Zymoseptoria_tritici_Crop_Incidence,71.78469
2007,West Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,73.3624
2007,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Crop_Incidence,64.99141
2008,East,L1_Zymoseptoria_tritici_Crop_Incidence,48.185867
2008,East Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,58.76032
2008,North East,L1_Zymoseptoria_tritici_Crop_Incidence,50.300488
2008,North West,L1_Zymoseptoria_tritici_Crop_Incidence,58.37623
2008,South East,L1_Zymoseptoria_tritici_Crop_Incidence,69.6027
2008,South West,L1_Zymoseptoria_tritici_Crop_Incidence,78.132225
2008,West Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,65.74794
2008,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Crop_Incidence,64.66031
