Year,Region,target,value
2005,East,L2_Yellow_rust_Crop_Incidence,0.45369065
2005,East Midlands,L2_Yellow_rust_Crop_Incidence,1.0232623
2005,North East,L2_Yellow_rust_Crop_Incidence,0.7119304
2005,North West,L2_Yellow_rust_Crop_Incidence,0.40749478
2005,South East,L2_Yellow_rust_Crop_Incidence,0.19099934
2005,South West,L2_Yellow_rust_Crop_Incidence,0.30549145
2005,West Midlands,L2_Yellow_rust_Crop_Incidence,0.51426446
2005,Yorkshire and The Humber,L2_Yellow_rust_Crop_Incidence,0.5934888
2006,East,L2_Yellow_rust_Crop_Incidence,0.041054644
2006,East Midlands,L2_Yellow_rust_Crop_Incidence,0.07929878
2006,North East,L2_Yellow_rust_Crop_Incidence,0.03713582
2006,North West,L2_Yellow_rust_Crop_Incidence,0.037771035
2006,South East,L2_Yellow_rust_Crop_Incidence,0.023368023
2006,South West,L2_Yellow_rust_Crop_Incidence,0.035746742
2006,West Midlands,L2_Yellow_rust_Crop_Incidence,0.024102293
2006,Yorkshire and The Humber,L2_Yellow_rust_Crop_Incidence,0.03869129
2007,East,L2_Yellow_rust_Crop_Incidence,4.7948313
2007,East Midlands,L2_Yellow_rust_Crop_Incidence,6.64327
2007,North East,L2_Yellow_rust_Crop_Incidence,5.617089
2007,North West,L2_Yellow_rust_Crop_Incidence,3.493215
2007,South East,L2_Yellow_rust_Crop_Incidence,6.4898195
2007,South West,L2_Yellow_rust_Crop_Incidence,7.14085
2007,Wales,L2_Yellow_rust_Crop_Incidence,5.158012
2007,West Midlands,L2_Yellow_rust_Crop_Incidence,6.2267113
2007,Yorkshire and The Humber,L2_Yellow_rust_Crop_Incidence,5.5080366
2008,East,L2_Yellow_rust_Crop_Incidence,1.2300456
2008,East Midlands,L2_Yellow_rust_Crop_Incidence,1.1800067
2008,North East,L2_Yellow_rust_Crop_Incidence,0.7292193
2008,North West,L2_Yellow_rust_Crop_Incidence,0.5964735
2008,South East,L2_Yellow_rust_Crop_Incidence,0.96253896
2008,South West,L2_Yellow_rust_Crop_Incidence,0.93743765
2008,West Midlands,L2_Yellow_rust_Crop_Incidence,0.9407805
2008,Yorkshire and The Humber,L2_Yellow_rust_Crop_Incidence,0.8846203
2009,East,L2_Yellow_rust_Crop_Incidence,1.6756827
2009,East Midlands,L2_Yellow_rust_Crop_Incidence,1.5050111
2009,North East,L2_Yellow_rust_Crop_Incidence,1.2574532
2009,North West,L2_Yellow_rust_Crop_Incidence,0.9968459
2009,South East,L2_Yellow_rust_Crop_Incidence,1.3024465
2009,South West,L2_Yellow_rust_Crop_Incidence,1.175492
2009,West Midlands,L2_Yellow_rust_Crop_Incidence,1.2796164
