Year,Region,target,value
2005,East,L2_Yellow_rust_Disease_Severity,0.0024493015
2005,East Midlands,L2_Yellow_rust_Disease_Severity,0.0045522437
2005,North East,L2_Yellow_rust_Disease_Severity,0.0053277854
2005,North West,L2_Yellow_rust_Disease_Severity,0.0050773807
2005,South East,L2_Yellow_rust_Disease_Severity,0.0019403332
2005,South West,L2_Yellow_rust_Disease_Severity,0.0024592741
2005,West Midlands,L2_Yellow_rust_Disease_Severity,0.004120225
2005,Yorkshire and The Humber,L2_Yellow_rust_Disease_Severity,0.0048543606
2006,East,L2_Yellow_rust_Disease_Severity,0.0033128965
2006,East Midlands,L2_Yellow_rust_Disease_Severity,0.0043376265
2006,North East,L2_Yellow_rust_Disease_Severity,0.0037047681
2006,North West,L2_Yellow_rust_Disease_Severity,0.0057158954
2006,South East,L2_Yellow_rust_Disease_Severity,0.0069596143
2006,South West,L2_Yellow_rust_Disease_Severity,0.0062878407
2006,West Midlands,L2_Yellow_rust_Disease_Severity,0.0064594583
2006,Yorkshire and The Humber,L2_Yellow_rust_Disease_Severity,0.0037024843
2007,East,L2_Yellow_rust_Disease_Severity,0.013955887
2007,East Midlands,L2_Yellow_rust_Disease_Severity,0.016075764
2007,North East,L2_Yellow_rust_Disease_Severity,0.01470549
2007,North West,L2_Yellow_rust_Disease_Severity,0.010685187
2007,South East,L2_Yellow_rust_Disease_Severity,0.015932266
2007,South West,L2_Yellow_rust_Disease_Severity,0.016559573
2007,Wales,L2_Yellow_rust_Disease_Severity,0.013055445
2007,West Midlands,L2_Yellow_rust_Disease_Severity,0.015033802
2007,Yorkshire and The Humber,L2_Yellow_rust_Disease_Severity,0.01590353
2008,East,L2_Yellow_rust_Disease_Severity,0.011355713
2008,East Midlands,L2_Yellow_rust_Disease_Severity,0.010951992
2008,North East,L2_Yellow_rust_Disease_Severity,0.009575843
2008,North West,L2_Yellow_rust_Disease_Severity,0.009928207
2008,South East,L2_Yellow_rust_Disease_Severity,0.012339845
2008,South West,L2_Yellow_rust_Disease_Severity,0.010788571
2008,West Midlands,L2_Yellow_rust_Disease_Severity,0.01209669
2008,Yorkshire and The Humber,L2_Yellow_rust_Disease_Severity,0.010839809
2009,East,L2_Yellow_rust_Disease_Severity,0.0072854687
2009,East Midlands,L2_Yellow_rust_Disease_Severity,0.006522034
2009,North East,L2_Yellow_rust_Disease_Severity,0.0067161806
2009,North West,L2_Yellow_rust_Disease_Severity,0.005168726
2009,South East,L2_Yellow_rust_Disease_Severity,0.0068201264
2009,South West,L2_Yellow_rust_Disease_Severity,0.0053860177
2009,West Midlands,L2_Yellow_rust_Disease_Severity,0.007053383
2009,Yorkshire and The Humber,L2_Yellow_rust_Disease_Severity,0.008358337
2010,East,L2_Yellow_rust_Disease_Severity,0.003644648
2010,East Midlands,L2_Yellow_rust_Disease_Severity,0.004100137
2010,North East,L2_Yellow_rust_Disease_Severity,0.00401414
2010,North West,L2_Yellow_rust_Disease_Severity,0.0046915305
2010,South East,L2_Yellow_rust_Disease_Severity,0.00812671
2010,South West,L2_Yellow_rust_Disease_Severity,0.0044111223
2010,Wales,L2_Yellow_rust_Disease_Severity,0.00472218
2010,West Midlands,L2_Yellow_rust_Disease_Severity,0.0042823246
2010,Yorkshire and The Humber,L2_Yellow_rust_Disease_Severity,0.0044521242
2011,East,L2_Yellow_rust_Disease_Severity,0.007180171
