Year,Region,target,value
2005,East,L2_Zymoseptoria_tritici_Disease_Severity,2.737984
2005,East Midlands,L2_Zymoseptoria_tritici_Disease_Severity,2.488882
2005,North East,L2_Zymoseptoria_tritici_Disease_Severity,4.5437107
2005,North West,L2_Zymoseptoria_tritici_Disease_Severity,10.83548
2005,South East,L2_Zymoseptoria_tritici_Disease_Severity,5.0041885
2005,South West,L2_Zymoseptoria_tritici_Disease_Severity,9.165515
2005,West Midlands,L2_Zymoseptoria_tritici_Disease_Severity,6.072845
2005,Yorkshire and The Humber,L2_Zymoseptoria_tritici_Disease_Severity,6.3293877
2006,East,L2_Zymoseptoria_tritici_Disease_Severity,4.111891
2006,East Midlands,L2_Zymoseptoria_tritici_Disease_Severity,3.6136825
2006,North East,L2_Zymoseptoria_tritici_Disease_Severity,1.6407979
2006,North West,L2_Zymoseptoria_tritici_Disease_Severity,6.0978994
2006,South East,L2_Zymoseptoria_tritici_Disease_Severity,7.9459267
2006,South West,L2_Zymoseptoria_tritici_Disease_Severity,7.8364177
2006,West Midlands,L2_Zymoseptoria_tritici_Disease_Severity,8.157236
2006,Yorkshire and The Humber,L2_Zymoseptoria_tritici_Disease_Severity,3.43429
2007,East,L2_Zymoseptoria_tritici_Disease_Severity,5.15915
2007,East Midlands,L2_Zymoseptoria_tritici_Disease_Severity,3.6633801
2007,North East,L2_Zymoseptoria_tritici_Disease_Severity,2.2285995
2007,North West,L2_Zymoseptoria_tritici_Disease_Severity,7.0320024
2007,South East,L2_Zymoseptoria_tritici_Disease_Severity,8.742563
2007,South West,L2_Zymoseptoria_tritici_Disease_Severity,10.384886
2007,Wales,L2_Zymoseptoria_tritici_Disease_Severity,6.475459
2007,West Midlands,L2_Zymoseptoria_tritici_Disease_Severity,8.870808
2007,Yorkshire and The Humber,L2_Zymoseptoria_tritici_Disease_Severity,5.333988
2008,East,L2_Zymoseptoria_tritici_Disease_Severity,1.0594671
2008,East Midlands,L2_Zymoseptoria_tritici_Disease_Severity,1.8648362
2008,North East,L2_Zymoseptoria_tritici_Disease_Severity,1.7344611
2008,North West,L2_Zymoseptoria_tritici_Disease_Severity,3.5717263
2008,South East,L2_Zymoseptoria_tritici_Disease_Severity,4.6558056
2008,South West,L2_Zymoseptoria_tritici_Disease_Severity,7.241147
2008,West Midlands,L2_Zymoseptoria_tritici_Disease_Severity,4.910843
2008,Yorkshire and The Humber,L2_Zymoseptoria_tritici_Disease_Severity,4.0319004
2009,East,L2_Zymoseptoria_tritici_Disease_Severity,1.348381
