Year,Region,target,value
2005,East,L1_Yellow_rust_Disease_Severity,0.00091101567
2005,East Midlands,L1_Yellow_rust_Disease_Severity,0.0015632547
2005,North East,L1_Yellow_rust_Disease_Severity,0.0022482174
2005,North West,L1_Yellow_rust_Disease_Severity,0.0012863637
2005,South East,L1_Yellow_rust_Disease_Severity,0.0008438552
2005,South West,L1_Yellow_rust_Disease_Severity,0.0005080583
2005,West Midlands,L1_Yellow_rust_Disease_Severity,0.001443944
2005,Yorkshire and The Humber,L1_Yellow_rust_Disease_Severity,0.0024257412
2006,East,L1_Yellow_rust_Disease_Severity,0.002267284
2006,East Midlands,L1_Yellow_rust_Disease_Severity,0.0032405767
2006,North East,L1_Yellow_rust_Disease_Severity,0.002354973
2006,North West,L1_Yellow_rust_Disease_Severity,0.0024825353
2006,South East,L1_Yellow_rust_Disease_Severity,0.0045049796
2006,South West,L1_Yellow_rust_Disease_Severity,0.0033976873
2006,West Midlands,L1_Yellow_rust_Disease_Severity,0.0031727634
2006,Yorkshire and The Humber,L1_Yellow_rust_Disease_Severity,0.0022410825
2007,East,L1_Yellow_rust_Disease_Severity,0.036199547
2007,East Midlands,L1_Yellow_rust_Disease_Severity,0.046061818
2007,North East,L1_Yellow_rust_Disease_Severity,0.052953705
2007,North West,L1_Yellow_rust_Disease_Severity,0.029643156
2007,South East,L1_Yellow_rust_Disease_Severity,0.047680903
2007,South West,L1_Yellow_rust_Disease_Severity,0.052684974
2007,Wales,L1_Yellow_rust_Disease_Severity,0.049152203
2007,West Midlands,L1_Yellow_rust_Disease_Severity,0.04606997
2007,Yorkshire and The Humber,L1_Yellow_rust_Disease_Severity,0.059224397
2008,East,L1_Yellow_rust_Disease_Severity,0.005273063
2008,East Midlands,L1_Yellow_rust_Disease_Severity,0.0046166885
2008,North East,L1_Yellow_rust_Disease_Severity,0.0038153967
2008,North West,L1_Yellow_rust_Disease_Severity,0.0036496096
2008,South East,L1_Yellow_rust_Disease_Severity,0.005611198
2008,South West,L1_Yellow_rust_Disease_Severity,0.0052402583
2008,West Midlands,L1_Yellow_rust_Disease_Severity,0.004866526
2008,Yorkshire and The Humber,L1_Yellow_rust_Disease_Severity,0.0042241793
2009,East,L1_Yellow_rust_Disease_Severity,0.004940299
2009,East Midlands,L1_Yellow_rust_Disease_Severity,0.0063045593
2009,North East,L1_Yellow_rust_Disease_Severity,0.0047627348
2009,North West,L1_Yellow_rust_Disease_Severity,0.0069872607
2009,South East,L1_Yellow_rust_Disease_Severity,0.005696198
2009,South West,L1_Yellow_rust_Disease_Severity,0.006108704
2009,West Midlands,L1_Yellow_rust_Disease_Severity,0.0066655413
2009,Yorkshire and The Humber,L1_Yellow_rust_Disease_Severity,0.006510091
2010,East,L1_Yellow_rust_Disease_Severity,0.006016779
2010,East Midlands,L1_Yellow_rust_Disease_Severity,0.009849317
2010,North East,L1_Yellow_rust_Disease_Severity,0.006860515
2010,North West,L1_Yellow_rust_Disease_Severity,0.010083403
2010,South East,L1_Yellow_rust_Disease_Severity,0.05472157
2010,South West,L1_Yellow_rust_Disease_Severity,0.00983504
2010,Wales,L1_Yellow_rust_Disease_Severity,0.013125057
2010,West Midlands,L1_Yellow_rust_Disease_Severity,0.010403104
2010,Yorkshire and The Humber,L1_Yellow_rust_Disease_Severity,0.011005985
2011,East,L1_Yellow_rust_Disease_Severity,0.0052482067
2011,East Midlands,L1_Yellow_rust_Disease_Severity,0.008865884
2011,North East,L1_Yellow_rust_Disease_Severity,0.0065801293
2011,North West,L1_Yellow_rust_Disease_Severity,0.006677763
2011,South East,L1_Yellow_rust_Disease_Severity,0.008685689
2011,South West,L1_Yellow_rust_Disease_Severity,0.009837522
2011,West Midlands,L1_Yellow_rust_Disease_Severity,0.008868992
2011,Yorkshire and The Humber,L1_Yellow_rust_Disease_Severity,0.007346429
2012,East,L1_Yellow_rust_Disease_Severity,0.0044915043
2012,East Midlands,L1_Yellow_rust_Disease_Severity,0.004241341
2012,North East,L1_Yellow_rust_Disease_Severity,0.004638253
