Year,Region,target,value
2005,East,L1_Zymoseptoria_tritici_Crop_Incidence,50.617386
2005,East Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,50.897194
2005,North East,L1_Zymoseptoria_tritici_Crop_Incidence,55.784904
2005,North West,L1_Zymoseptoria_tritici_Crop_Incidence,72.52203
2005,South East,L1_Zymoseptoria_tritici_Crop_Incidence,53.101585
2005,South West,L1_Zymoseptoria_tritici_Crop_Incidence,70.14531
2005,West Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,58.71792
2005,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Crop_Incidence,59.840874
2006,East,L1_Zymoseptoria_tritici_Crop_Incidence,67.10517
2006,East Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,68.2354
2006,North East,L1_Zymoseptoria_tritici_Crop_Incidence,46.69312
2006,North West,L1_Zymoseptoria_tritici_Crop_Incidence,69.24997
2006,South East,L1_Zymoseptoria_tritici_Crop_Incidence,72.2838
2006,South West,L1_Zymoseptoria_tritici_Crop_Incidence,70.26207
2006,West Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,72.51575
2006,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Crop_Incidence,55.750473
2007,East,L1_Zymoseptoria_tritici_Crop_Incidence,73.13233
2007,East Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,71.46846
2007,North East,L1_Zymoseptoria_tritici_Crop_Incidence,53.767418
2007,North West,L1_Zymoseptoria_tritici_Crop_Incidence,70.775604
2007,South East,L1_Zymoseptoria_tritici_Crop_Incidence,73.60106
2007,South West,L1_Zymoseptoria_tritici_Crop_Incidence,76.35518
2007,Wales,L1_Zymoseptoria_tritici_Crop_Incidence,73.21784
2007,West Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,75.7551
2007,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Crop_Incidence,67.704506
2008,East,L1_Zymoseptoria_tritici_Crop_Incidence,50.396378
2008,East Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,60.10745
2008,North East,L1_Zymoseptoria_tritici_Crop_Incidence,41.21979
2008,North West,L1_Zymoseptoria_tritici_Crop_Incidence,56.815422
2008,South East,L1_Zymoseptoria_tritici_Crop_Incidence,72.983246
2008,South West,L1_Zymoseptoria_tritici_Crop_Incidence,71.87363
2008,West Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,67.43068
2008,Yorkshire and The Humber,L1_Zymoseptoria_tritici_Crop_Incidence,57.005566
2009,East,L1_Zymoseptoria_tritici_Crop_Incidence,50.039955
2009,East Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,64.820206
2009,North East,L1_Zymoseptoria_tritici_Crop_Incidence,52.303604
2009,North West,L1_Zymoseptoria_tritici_Crop_Incidence,77.0992
2009,South East,L1_Zymoseptoria_tritici_Crop_Incidence,62.99844
2009,South West,L1_Zymoseptoria_tritici_Crop_Incidence,70.73579
2009,West Midlands,L1_Zymoseptoria_tritici_Crop_Incidence,68.97657
